,0,1,2
num__log_raised_musd,-0.8055044887845364,0.0,1.2643966110236131
num__log_raised_musd_sq,0.0,0.12845586404313702,-0.7027119471757666
num__n_flags,0.0,0.0,0.0
num__n_flags_sq,0.20516301550600874,0.0,-0.7715562825039743
num__relative_funding_ratio,0.1996849890918648,-0.43145992165563735,0.0
bin__Giants,-0.5144139496123803,0.0,0.205545747544138
bin__No Budget,0.0,-0.5362867731303212,0.24066849850440103
bin__Competition,0.09880481445859061,0.0,0.0
bin__Poor Market Fit,0.5956860791292318,0.0,-0.535931785723157
bin__Acquisition Stagnation,0.0,0.0,0.7093763306916423
bin__Monetization Failure,0.0,0.5546487586361439,0.0
bin__Niche Limits,-0.09068528481587484,0.1835995530050842,0.0
bin__Execution Flaws,0.6784724243470656,0.0,0.0
bin__Trend Shifts,0.0,0.0,0.0
bin__single_cause_failure,0.26715194428998507,0.0,-1.4670171733488595
bin__big_tech_pressure,-0.17577089657114134,0.0,1.0297187965479595
cat__Sector_Accommodation and Food Services,0.1865937693190588,0.0,-0.41521781570023053
cat__Sector_Finance and Insurance,0.0,0.16916932688148345,-0.0072482480474513515
cat__Sector_Health Care,0.0,-0.2826650244149354,0.30989617409025966
cat__Sector_Information,0.0,-0.2247587559281319,0.24343561439113676
cat__Sector_Manufacturing,0.0,0.25945946293105226,-0.4954050438101037
cat__Sector_Retail Trade,-0.3474686280216238,0.0,0.0967731270611242
cat__decade_started_2000s,-0.8077398009073504,0.0017760728606722267,0.0
cat__decade_started_2010s_plus,0.0,0.0,-2.8711279667056933
cat__decade_started_pre_2000,0.0,-1.1540406074550782,0.0
